id,flag,telephonenumber,basepackage,productname,productid,subscriptiondate,createddate,price,promotion,category,testfield1
23,,2345891009,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
24,,2345891000,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
25,,2345891007,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
26,,2345891003,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
27,,2345891013,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
28,,2345891011,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
29,,2345891005,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
30,,2345891014,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
31,,2345891001,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
32,,2345891010,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
33,,2345891008,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
34,,2345891015,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
35,,2345891012,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
36,,2345891002,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
37,,2345891006,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
38,,2345891016,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
39,,2345891004,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
40,,2345891019,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
41,,2345891018,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
42,,2345891017,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
43,,2345891021,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
44,,2345891020,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
45,,2345891022,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
46,,2345891024,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
47,,2345891023,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
48,,2345891025,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
49,,2345891027,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
50,,2345891026,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
51,,2345891028,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
52,,2345891031,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
53,,2345891030,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
54,,2345891029,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
55,,2345891033,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
56,,2345891034,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
57,,2345891032,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
58,,2345891038,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
59,,2345891036,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
60,,2345891035,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
61,,2345891037,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
62,,2345891039,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
63,,2345891040,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
64,,2345891042,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
65,,2345891041,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
66,,2345891043,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
67,,2345891045,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
68,,2345891044,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
69,,2345891047,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
70,,2345891046,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
71,,2345891048,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
72,,2345891049,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
73,,2345891052,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
74,,2345891053,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
75,,2345891051,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
76,,2345891050,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
77,,2345891054,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
78,,2345891055,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
79,,2345891056,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
80,,2345891058,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
81,,2345891057,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
82,,2345891060,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
83,,2345891059,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
84,,2345891061,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
85,,2345891063,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
86,,2345891065,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
87,,2345891062,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
88,,2345891067,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
89,,2345891066,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
90,,2345891064,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
91,,2345891069,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
92,,2345891068,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
93,,2345891071,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
94,,2345891073,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
95,,2345891070,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
96,,2345891072,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
97,,2345891074,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
98,,2345891075,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
99,,2345891076,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
100,,2345891077,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
101,,2345891079,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
102,,2345891080,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
103,,2345891081,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
104,,2345891078,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
105,,2345891082,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
106,,2345891084,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
107,,2345891085,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
108,,2345891083,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
109,,2345891087,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
110,,2345891086,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
111,,2345891088,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
112,,2345891089,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
113,,2345891090,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
114,,2345891091,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
115,,2345891093,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
116,,2345891092,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
117,,2345891094,Base Pack,Pro1,PROD001,27102021164938,27102021164938,300,,,
