id,flag,telephonenumber,basepackage,productname,productid,subscriptiondate,createddate,price,promotion,category,testfield1
823,,2345891012,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
824,,2345891023,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
825,,2345891027,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
826,,2345891039,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
827,,2345891019,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
828,,2345891028,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
829,,2345891020,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
830,,2345891005,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
831,,2345891001,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
832,,2345891032,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
833,,2345891008,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
834,,2345891024,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
835,,2345891013,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
836,,2345891030,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
837,,2345891006,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
838,,2345891021,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
839,,2345891017,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
840,,2345891016,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
841,,2345891035,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
842,,2345891015,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
843,,2345891025,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
844,,2345891002,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
845,,2345891014,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
846,,2345891004,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
847,,2345891029,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
848,,2345891009,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
849,,2345891018,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
850,,2345891011,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
851,,2345891026,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
852,,2345891003,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
853,,2345891007,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
854,,2345891000,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
855,,2345891031,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
856,,2345891033,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
857,,2345891034,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
858,,2345891010,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
859,,2345891037,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
860,,2345891022,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
861,,2345891036,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
862,,2345891040,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
863,,2345891038,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
864,,2345891042,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
865,,2345891043,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
866,,2345891041,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
867,,2345891045,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
868,,2345891044,Base Pack,Pro1,PROD001,09112021155407,09112021155407,300,,,
